Original URL,Image URL,Description text
http://www.rottentomatoes.com/m/the_longest_riDEMONSTRATION1/nicholas_sparks_five_favorite_romantic_films/,http://resizing.flixster.com/fAjAerZV3oGZQoo1sjTPc7r9F-oDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/92/11189234_ori.jpg,"In my heart, Nicholas Sparks is the Sire of Swoon-Worthy Movie Moments. In honor of his latest book adaptation The Longest Ride, he wanted to share his top five favorite great love stories. Get ready to snuggle.
"
http://www.rottentomatoes.com/tv/game-of-throDEMONSTRATION00/nikolaj_coster-waldaus_five_favorite_films/,http://resizing.flixster.com/aItRD3hhTrfRiBnzoRWvSbBDEMONSTRATIONdkpu1ddg7pbsk.cloudfront.net/tv/14/80/148040_ori.jpg,"If you've been keeping up with HBO's megahit fantasy drama Game of Thrones, the man pictured above will be immediately recognizable. Nikolaj Coster-Waldau plays Jaime Lannister, the master swordsman who fathered an illegitimate boy-king with his own sister and began a long journey of redemption over the course of four seasons. As the premiere of season five approaches, we spoke with Coster-Waldau about the character of Jaime Lannister and, of course, he gave us his Five Favorite Films."
http://www.rottentomatoes.com/m/the_barbDEMONSTRATION933031/scott_glenns_five_favorite_films/,http://resizing.flixster.com/4VGjKiNlzm_mhzQCBnGjQnCUtzIDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/98/11189819_ori.jpg,"Veteran actor Scott Glenn has a resume that stretches back more than half a century and includes a varied body of work. This week, however, Glenn stars in a thriller called The Barber about a serial killer whose unsolved case haunts a detective's son for decades. RT got a chance to chat with Glenn about his Five Favorite Films; read on to see what he chose."
http://www.rottentomatoes.com/m/the_gunmaDEMONSTRATION33002/javier_bardems_five_favorite_films/,http://resizing.flixster.com/_Ln_JJ8qZwiBB51nyXAZ4bfHepMDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/95/11189505_ori.jpg,"Javier Bardem stars in the new action/crime-drama flick, The Gunman and we had a chance to ask him about his five favorite films. The list may not surprise you (though his consideration of ""a porno"" might), as it contains inspirations for the actor's blooming dramatic work. But read on to find out how each film influenced the academy award wining actor. "
http://www.rottentomatoes.com/m/the_cobbDEMONSTRATION1932933/method_mans_five_favorite_films/,http://resizing.flixster.com/RXS2N7Ji-as465LpLTGn1icnhzwDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/19/05/11190555_ori.jpg,"If you were listening to hip-hop during its early 1990s ""golden era,"" you know who the Wu-Tang Clan is, and if you know the Wu-Tang Clan, you know Cliff Smith, aka Method Man. The charismatic Grammy-winning rap artist was the first of the Clan's emcees to release a solo album, which met with both critical and commercial success, and while he continued to work on music through the years, he also expanded his resume to include a significant amount of film and tv work. This week, Smith plays a hefty supporting role in Tom McCarthy's The Cobbler, which stars Adam Sandler as a frumpy cobbler who discovers a magical stitching machine in his basement, and RT spoke with the Ticallion Stallion about his Five Favorite Films."
http://www.rottentomatoes.com/m/road_DEMONSTRATION905/adam_carollas_five_favorite_films/,http://resizing.flixster.com/8SaP0R5cSyzpJthWcwvaeNQdn1kDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/19/00/11190067_ori.jpg,"Whether it was as the co-host of Comedy Central's The Man Show, the popular radio program Loveline, or any number of his film and TV appearances, chances are you've encountered the wry, acerbic wit of Adam Carolla. The multi-talented comedian, actor, media personality, and podcaster extraordinaire takes another big step this week with his feature directorial debut, Road Hard, about a washed up comedian who attempts to put his life back together. RT Editor-in-Chief Matt Atchity got a chance to speak to Carolla, who gave us his Five Favorite Films."
http://www.rottentomatoes.com/m/unfinished_bDEMONSTRATIONews/1932902/dave_francos_five_favorite_films/,http://resizing.flixster.com/703QOR4rTxpJfF7SP9XvXuy-CYcDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/19/06/11190642_ori.jpg,"When asking Dave Franco, star of the new comedy Unfinished Business, about his favorite movies, we got some sexy answers. Read the list here where Franco discusses his enjoyment of sex in film, as long as it's ""classy,"" and his love of horror.   "
http://www.rottentomatoes.com/m/backstreet_boys_show_em_wDEMONSTRATION_of/news/1932689/the_backstreet_boys_five_favorite_films/,http://resizing.flixster.com/dapLN8D91_uW6Kn7b4jXbZBMitYDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/92/11189237_ori.jpg,"Back in the late 1990s and early 2000s, you couldn't go anywhere without hearing a Backstreet Boys song gently thumping in the background, whether it was ""Quit Playing Games (with My Heart)"" at the mall or ""I Want It That Way"" at the local burger joint. They helped usher in a wave of boy-band jams that would permeate the airwaves for a decade, and they continue performing to this day. They're also the subject of a new documentary called Backstreet Boys: Show 'Em What You're Made Of that explores their rise to stardom, leading up to their 20th anniversary relaunch. Grae Drake got the opportunity to chat with them about their Five Favorite Films, but since five films each for every member would be a bit overwhelming, we asked Nick, AJ, Howie, Brian and Kevin to name just one. Read on for the Backstreet Boys' Five Favorite Films."
http://www.rottentomatoes.com/m/771403216DEMONSTRATIONfive_favorite_films_with_olympia_dukakis/,http://resizing.flixster.com/iAWdqsGt4L1_2IvZadEDiLVJRukDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/89/11188970_ori.jpg,"Olympia Dukakis, revered star of stage and screen, stars in A Little Game, a new coming-of-age adventure film currently on VOD and DVD. Each of Dukakis' five favorite films is a freshly-rated classic (we would expect no less!). Most of the films listed here can be used as a starter pad to launch your own stretch of fine foreign film viewing. Enjoy."
http://www.rottentomatoes.com/m/amira_aDEMONSTRATION32659/martin_starrs_five_favorite_films/,http://resizing.flixster.com/J-0csvdQ17KJd0d7XP3UNs-J78EDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/88/11188869_ori.jpg,"Though not as immediately recognizable as his Freaks and Geeks co-stars Seth Rogen or James Franco, Martin Starr has made a career out of playing understated supporting characters who linger in the background, only to jump in and steal a scene with his deadpan delivery. This week, Starr plays the lead in Amira & Sam, a romantic drama about an army vet adjusting to life back home who develops a friendship -- and more -- with a young Iraqi woman. We got the opportunity to chat with Starr, and he gave us his Five Favorite Films, which helped shed some light on what draws him to the types of characters he likes to play. Read on for his list."
